nlevels,successes,trials,mean,lower,upper,Task,delta
4,41,50,0.82,0.68563058871435,0.914237921890336,Motor Priming:Unmasked,1.9029520929687
8,49,50,0.98,0.8935304542885,0.999493772016959,Motor Priming:Unmasked,1.9029520929687
12,50,50,1,0.928878263535802,1,Motor Priming:Unmasked,1.9029520929687
16,50,50,1,0.928878263535802,1,Motor Priming:Unmasked,1.9029520929687
4,32,50,0.64,0.491931352285601,0.770842933179413,Simon,1.32622382417153
8,44,50,0.88,0.756898683294437,0.954664679226336,Simon,1.32622382417153
12,50,50,1,0.928878263535802,1,Simon,1.32622382417153
16,50,50,1,0.928878263535802,1,Simon,1.32622382417153
4,14,50,0.28,0.162310600707175,0.424905357016109,Motor Priming:Masked,-0.792209929355034
8,28,50,0.56,0.412544122941673,0.700092779072456,Motor Priming:Masked,-0.792209929355034
12,41,50,0.82,0.68563058871435,0.914237921890336,Motor Priming:Masked,-0.792209929355034
16,46,50,0.92,0.807657216404037,0.97777203634507,Motor Priming:Masked,-0.792209929355034
20,48,50,0.96,0.862862374396033,0.995118566573836,Motor Priming:Masked,-0.792209929355034
24,49,50,0.98,0.8935304542885,0.999493772016959,Motor Priming:Masked,-0.792209929355034
28,49,50,0.98,0.8935304542885,0.999493772016959,Motor Priming:Masked,-0.792209929355034
32,50,50,1,0.928878263535802,1,Motor Priming:Masked,-0.792209929355034
36,50,50,1,0.928878263535802,1,Motor Priming:Masked,-0.792209929355034
40,50,50,1,0.928878263535802,1,Motor Priming:Masked,-0.792209929355034
4,8,50,0.16,0.071700767183286,0.291126306595111,flanker,0.601100371896025
8,18,50,0.36,0.229157066820587,0.508068647714399,flanker,0.601100371896025
12,21,50,0.42,0.281882241123698,0.567939564934434,flanker,0.601100371896025
16,30,50,0.6,0.45179402847918,0.735921604905463,flanker,0.601100371896025
20,37,50,0.74,0.596552321271934,0.853699415603446,flanker,0.601100371896025
24,42,50,0.84,0.708873693404889,0.928299232816714,flanker,0.601100371896025
28,41,50,0.82,0.68563058871435,0.914237921890336,flanker,0.601100371896025
32,43,50,0.86,0.732603997502992,0.941808299659628,flanker,0.601100371896025
36,45,50,0.9,0.781864633565798,0.966724906410978,flanker,0.601100371896025
40,46,50,0.92,0.807657216404037,0.97777203634507,flanker,0.601100371896025
