"nlevels","successes","trials","mean","lower","upper","Task","delta"
4,25,50,0.5,0.355272997129908,0.644727002870092,"False Memory",1.17273455879528
8,43,50,0.86,0.732603997502992,0.941808299659628,"False Memory",1.17273455879528
12,50,50,1,0.928878263535802,1,"False Memory",1.17273455879528
16,50,50,1,0.928878263535802,1,"False Memory",1.17273455879528
20,50,50,1,0.928878263535802,1,"False Memory",1.17273455879528
4,31,50,0.62,0.471749163052855,0.753498922200138,"Spacing",0.873447057332993
8,38,50,0.76,0.618309251895962,0.869390083802543,"Spacing",0.873447057332993
12,45,50,0.9,0.781864633565798,0.966724906410978,"Spacing",0.873447057332993
16,46,50,0.92,0.807657216404037,0.97777203634507,"Spacing",0.873447057332993
20,49,50,0.98,0.8935304542885,0.999493772016959,"Spacing",0.873447057332993
4,10,50,0.2,0.100302237472571,0.337183108383488,"Serial:Primacy",0.802997633099901
8,23,50,0.46,0.318149178568609,0.606758023883078,"Serial:Primacy",0.802997633099901
12,37,50,0.74,0.596552321271934,0.853699415603446,"Serial:Primacy",0.802997633099901
16,46,50,0.92,0.807657216404037,0.97777203634507,"Serial:Primacy",0.802997633099901
20,50,50,1,0.928878263535802,1,"Serial:Primacy",0.802997633099901
4,13,50,0.26,0.146300584396554,0.403447678728066,"Serial:Recency",1.09878529805855
8,40,50,0.8,0.662816891616512,0.899697762527429,"Serial:Recency",1.09878529805855
12,48,50,0.96,0.862862374396033,0.995118566573836,"Serial:Recency",1.09878529805855
16,50,50,1,0.928878263535802,1,"Serial:Recency",1.09878529805855
20,50,50,1,0.928878263535802,1,"Serial:Recency",1.09878529805855
